コード,銘柄名,price,volume,marketCapacity,pbr,per
2209,井村屋グループ,2518,15500,32223158272,1.3792982,12.531104
2211,不二家,2525,63300,65083539456,1.1268291,39.214165
2212,山崎製パン,3309,310900,653709148160,1.5145786,17.544138
2217,モロゾフ,1555,24600,31600482304,1.6567616,26.454576
2220,亀田製菓,3810,37400,80326647808,0.8508998,2.9850748
2222,寿スピリッツ,1854,347200,286318854144,7.1043463,23.641928
2229,カルビー,2980,357800,362331799552,1.811527,21.881195
2264,森永乳業,3775,256300,305364697088,1.1460005,29.499102
2266,六甲バター,1190,24900,23184617472,0.7406591,68.50892
2267,ヤクルト本社,2508,1259800,735467405312,1.3087633,17.512743
2270,雪印メグミルク,3340,167900,205192773632,0.89828795,13.53158
2281,プリマハム,2785,140100,139981537280,1.1531838,23.474377
2288,丸大食品,2207,27600,54027620352,0.768526,12.225115
2292,Ｓ　Ｆｏｏｄｓ,2765,35100,87577542656,0.7100901,15.624999
2294,柿安本店,2683,18600,25697460224,1.7788639,37.176113
2296,伊藤ハム米久ホールディングス,5740,111600,325749997568,1.1348433,19.920181
2301,学情,1789,53300,24010102784,1.6136335,12.180011
2307,クロスキャット,1073,11800,15017815040,2.4988065,10.787172
2317,システナ,516,538000,184447205376,5.1586585,22.270176
2325,ＮＪＳ,5000,42100,47615561728,1.6598998,18.903591
2326,デジタルアーツ,6150,90900,82792439808,4.7193556,26.953587
2327,日鉄ソリューションズ,4444,202000,813169377280,3.0566716,30.303444
2331,ＡＬＳＯＫ,1246,720300,605682794496,1.7359393,19.01129
2335,キューブシステム,1128,12300,17119730688,1.532515,14.727772
2337,いちご,453,828000,186201292800,1.6533269,10.51532
2353,日本駐車場開発,269,1419700,85230231552,4.82901,17.957277
2359,コア,2098,6200,30145114112,1.5746506,12.437753
2371,カカクコム,2338,883100,462640119808,7.6830077,23.363974
2374,セントケア・ホールディング,1212,29900,29884985344,1.7358848,17.331617
2378,ルネサンス,1114,28000,21072359424,1.7598431,44.04903
2379,ディップ,2251,183400,117765357568,3.1494145,15.432607
2384,ＳＢＳホールディングス,3895,43300,154699153408,1.6248713,26.1094
2389,デジタルホールディングス,2014,36700,35164254208,1.2694603,19.723827
2395,新日本科学,1643,265000,68401106944,1.8060662,14.7064085
2410,キャリアデザインセンター,2527,29600,13296025600,2.8726943,12.04825
2429,ワールドホールディングス,2774,88400,49635270656,1.0410053,7.189136
2433,博報堂ＤＹホールディングス,1200,447200,432204546048,1.1457962,27.471395
2445,タカミヤ,440,94200,20171913216,0.9052194,16.023308
2461,ファンコミュニケーションズ,511,45900,33852946432,1.9651655,26.381
