対象日付,コード,銘柄名,株価換算係数,業種,セクター
"2026/01/09","9201","日本航空","1.0","空運","運輸・公共"
"2026/01/09","9202","ＡＮＡホールディングス","0.1","空運","運輸・公共"
"2026/01/09","9432","ＮＴＴ","10.0","通信","技術"
"2026/01/09","9433","ＫＤＤＩ","12.0","通信","技術"
"2026/01/09","9434","ソフトバンク","10.0","通信","技術"
"2026/01/09","9501","東京電力ホールディングス","0.1","電力","運輸・公共"
"2026/01/09","9502","中部電力","0.1","電力","運輸・公共"
"2026/01/09","9503","関西電力","0.1","電力","運輸・公共"
"2026/01/09","9531","東京瓦斯","0.2","ガス","運輸・公共"
"2026/01/09","9532","大阪瓦斯","0.2","ガス","運輸・公共"
"2026/01/09","9602","東宝","0.1","サービス","消費"
"2026/01/09","9735","セコム","2.0","サービス","消費"
"2026/01/09","9766","コナミグループ","1.0","サービス","消費"
"2026/01/09","9843","ニトリホールディングス","2.5","小売業","消費"
"2026/01/09","9983","ファーストリテイリング","2.4","小売業","消費"
"2026/01/09","9984","ソフトバンクグループ","24.0","通信","技術"
"本資料は日経の著作物であり、本資料の全部又は一部を、いかなる形式によっても日経に無断で複写、複製、転載または流布することができません。対象日付は、各構成銘柄の株価換算係数を指数算出に用いた当該日付。なお、キャップ調整比率が設定されている銘柄については、「株価換算係数」に代えて「キャップ調整済み株価換算係数」を収録します。"
